p_gen,i,g,t,Time
0.0,0,g1,1,2020-01-01 00:00
0.0,0,g1,2,2020-01-01 00:00
0.0,0,g1,3,2020-01-01 00:00
0.0,0,g1,4,2020-01-01 00:00
0.0,0,g1,5,2020-01-01 00:00
0.0,0,g1,6,2020-01-01 00:00
0.0,0,g1,7,2020-01-01 00:00
0.0,0,g1,8,2020-01-01 00:00
0.0,0,g1,9,2020-01-01 00:00
2.08368797672884,0,g1,10,2020-01-01 00:00
22.0836879767288,0,g1,11,2020-01-01 00:00
32.0836879767288,0,g1,12,2020-01-01 00:00
0.0,1,g1,1,2020-01-01 00:05
0.0,1,g1,2,2020-01-01 00:05
0.0,1,g1,3,2020-01-01 00:05
0.0,1,g1,4,2020-01-01 00:05
0.0,1,g1,5,2020-01-01 00:05
10.0,1,g1,6,2020-01-01 00:05
10.0,1,g1,7,2020-01-01 00:05
10.0,1,g1,8,2020-01-01 00:05
10.4661300979034,1,g1,9,2020-01-01 00:05
16.5302849072599,1,g1,10,2020-01-01 00:05
15.0,1,g1,11,2020-01-01 00:05
35.0,1,g1,12,2020-01-01 00:05
0.0,2,g1,1,2020-01-01 00:10
0.0,2,g1,2,2020-01-01 00:10
2.41776518018619,2,g1,3,2020-01-01 00:10
10.0,2,g1,4,2020-01-01 00:10
10.0,2,g1,5,2020-01-01 00:10
10.0,2,g1,6,2020-01-01 00:10
10.0,2,g1,7,2020-01-01 00:10
10.1263157899789,2,g1,8,2020-01-01 00:10
20.1263157899789,2,g1,9,2020-01-01 00:10
15.0,2,g1,10,2020-01-01 00:10
35.0,2,g1,11,2020-01-01 00:10
35.0,2,g1,12,2020-01-01 00:10
0.0,3,g1,1,2020-01-01 00:15
4.44279119595397,3,g1,2,2020-01-01 00:15
10.0,3,g1,3,2020-01-01 00:15
10.0,3,g1,4,2020-01-01 00:15
10.0,3,g1,5,2020-01-01 00:15
10.0,3,g1,6,2020-01-01 00:15
10.1263157899789,3,g1,7,2020-01-01 00:15
13.4246259423776,3,g1,8,2020-01-01 00:15
15.0,3,g1,9,2020-01-01 00:15
35.0,3,g1,10,2020-01-01 00:15
35.0,3,g1,11,2020-01-01 00:15
15.0,3,g1,12,2020-01-01 00:15
0.0,4,g1,1,2020-01-01 00:20
4.63264893515903,4,g1,2,2020-01-01 00:20
10.0,4,g1,3,2020-01-01 00:20
10.0,4,g1,4,2020-01-01 00:20
10.0,4,g1,5,2020-01-01 00:20
10.1263157899789,4,g1,6,2020-01-01 00:20
10.1263157899789,4,g1,7,2020-01-01 00:20
5.25390749702839,4,g1,8,2020-01-01 00:20
35.0,4,g1,9,2020-01-01 00:20
35.0,4,g1,10,2020-01-01 00:20
15.0,4,g1,11,2020-01-01 00:20
32.8180557966064,4,g1,12,2020-01-01 00:20
0.0,5,g1,1,2020-01-01 00:25
9.19186617802381,5,g1,2,2020-01-01 00:25
10.0,5,g1,3,2020-01-01 00:25
10.0,5,g1,4,2020-01-01 00:25
10.1263157899789,5,g1,5,2020-01-01 00:25
10.1263157899789,5,g1,6,2020-01-01 00:25
5.38278800919954,5,g1,7,2020-01-01 00:25
35.0,5,g1,8,2020-01-01 00:25
35.0,5,g1,9,2020-01-01 00:25
7.81805579660641,5,g1,10,2020-01-01 00:25
22.8180557966064,5,g1,11,2020-01-01 00:25
32.8180557966064,5,g1,12,2020-01-01 00:25
9.43452208787489,6,g1,1,2020-01-01 00:30
10.0,6,g1,2,2020-01-01 00:30
10.0,6,g1,3,2020-01-01 00:30
10.1263157899789,6,g1,4,2020-01-01 00:30
10.1263157899789,6,g1,5,2020-01-01 00:30
5.38278800919955,6,g1,6,2020-01-01 00:30
35.0,6,g1,7,2020-01-01 00:30
35.0,6,g1,8,2020-01-01 00:30
5.12631578997895,6,g1,9,2020-01-01 00:30
12.8180557966064,6,g1,10,2020-01-01 00:30
22.8180557966064,6,g1,11,2020-01-01 00:30
32.8180557966064,6,g1,12,2020-01-01 00:30
10.0,7,g1,1,2020-01-01 00:35
10.0,7,g1,2,2020-01-01 00:35
10.1263157899788,7,g1,3,2020-01-01 00:35
10.1263157899789,7,g1,4,2020-01-01 00:35
5.6319950838342,7,g1,5,2020-01-01 00:35
35.0,7,g1,6,2020-01-01 00:35
35.0,7,g1,7,2020-01-01 00:35
5.12631578997895,7,g1,8,2020-01-01 00:35
10.1263157899789,7,g1,9,2020-01-01 00:35
12.8180557966064,7,g1,10,2020-01-01 00:35
22.8180557966064,7,g1,11,2020-01-01 00:35
32.8180557966064,7,g1,12,2020-01-01 00:35
9.99999999999988,8,g1,1,2020-01-01 00:40
10.1263157899789,8,g1,2,2020-01-01 00:40
10.1263157899789,8,g1,3,2020-01-01 00:40
5.38278800919955,8,g1,4,2020-01-01 00:40
35.0,8,g1,5,2020-01-01 00:40
35.0,8,g1,6,2020-01-01 00:40
5.12631578997895,8,g1,7,2020-01-01 00:40
10.1263157899789,8,g1,8,2020-01-01 00:40
10.1263157899789,8,g1,9,2020-01-01 00:40
12.8180557966064,8,g1,10,2020-01-01 00:40
22.8180557966064,8,g1,11,2020-01-01 00:40
33.3230663249423,8,g1,12,2020-01-01 00:40
10.1263157899789,9,g1,1,2020-01-01 00:45
10.126315789979,9,g1,2,2020-01-01 00:45
5.38278800919955,9,g1,3,2020-01-01 00:45
35.0,9,g1,4,2020-01-01 00:45
35.0,9,g1,5,2020-01-01 00:45
5.12631578997895,9,g1,6,2020-01-01 00:45
10.1263157899789,9,g1,7,2020-01-01 00:45
10.1263157899789,9,g1,8,2020-01-01 00:45
10.1263157899789,9,g1,9,2020-01-01 00:45
12.8180557966064,9,g1,10,2020-01-01 00:45
22.8180557966064,9,g1,11,2020-01-01 00:45
33.5751928943723,9,g1,12,2020-01-01 00:45
10.1263157899789,10,g1,1,2020-01-01 00:50
5.38278800919954,10,g1,2,2020-01-01 00:50
35.0,10,g1,3,2020-01-01 00:50
35.0,10,g1,4,2020-01-01 00:50
5.12631578997895,10,g1,5,2020-01-01 00:50
10.126315789979,10,g1,6,2020-01-01 00:50
10.1263157899789,10,g1,7,2020-01-01 00:50
10.126315789979,10,g1,8,2020-01-01 00:50
10.1263157899789,10,g1,9,2020-01-01 00:50
12.8180557966064,10,g1,10,2020-01-01 00:50
22.8180557966064,10,g1,11,2020-01-01 00:50
33.8270673372323,10,g1,12,2020-01-01 00:50
5.38278800919955,11,g1,1,2020-01-01 00:55
35.0,11,g1,2,2020-01-01 00:55
35.0,11,g1,3,2020-01-01 00:55
5.12631578997895,11,g1,4,2020-01-01 00:55
10.1263157899789,11,g1,5,2020-01-01 00:55
10.1263157899789,11,g1,6,2020-01-01 00:55
10.1263157899789,11,g1,7,2020-01-01 00:55
10.1263157899789,11,g1,8,2020-01-01 00:55
10.1263157899789,11,g1,9,2020-01-01 00:55
12.8180557966064,11,g1,10,2020-01-01 00:55
22.8180557966064,11,g1,11,2020-01-01 00:55
34.0786899056499,11,g1,12,2020-01-01 00:55
35.0,12,g1,1,2020-01-01 01:00
35.0,12,g1,2,2020-01-01 01:00
5.12631578997893,12,g1,3,2020-01-01 01:00
10.1263157899789,12,g1,4,2020-01-01 01:00
10.1263157899789,12,g1,5,2020-01-01 01:00
10.1263157899789,12,g1,6,2020-01-01 01:00
10.1263157899789,12,g1,7,2020-01-01 01:00
10.126315789979,12,g1,8,2020-01-01 01:00
10.1263157899789,12,g1,9,2020-01-01 01:00
12.8180557966064,12,g1,10,2020-01-01 01:00
22.8180557966064,12,g1,11,2020-01-01 01:00
34.3300608514984,12,g1,12,2020-01-01 01:00
35.0,13,g1,1,2020-01-01 01:05
5.12631578997895,13,g1,2,2020-01-01 01:05
10.1263157899789,13,g1,3,2020-01-01 01:05
10.1263157899789,13,g1,4,2020-01-01 01:05
10.1263157899789,13,g1,5,2020-01-01 01:05
10.1263157899789,13,g1,6,2020-01-01 01:05
10.1263157899789,13,g1,7,2020-01-01 01:05
13.5837956436567,13,g1,8,2020-01-01 01:05
33.5837956436567,13,g1,9,2020-01-01 01:05
35.0,13,g1,10,2020-01-01 01:05
15.0,13,g1,11,2020-01-01 01:05
35.0,13,g1,12,2020-01-01 01:05
5.12631578997895,14,g1,1,2020-01-01 01:10
10.1263157899789,14,g1,2,2020-01-01 01:10
10.1263157899789,14,g1,3,2020-01-01 01:10
10.1263157899789,14,g1,4,2020-01-01 01:10
10.126315789979,14,g1,5,2020-01-01 01:10
14.4726398064101,14,g1,6,2020-01-01 01:10
24.4726398064101,14,g1,7,2020-01-01 01:10
35.0,14,g1,8,2020-01-01 01:10
35.0,14,g1,9,2020-01-01 01:10
15.0,14,g1,10,2020-01-01 01:10
35.0,14,g1,11,2020-01-01 01:10
35.0,14,g1,12,2020-01-01 01:10
10.1263157899789,15,g1,1,2020-01-01 01:15
10.1263157899789,15,g1,2,2020-01-01 01:15
10.1263157899789,15,g1,3,2020-01-01 01:15
10.1263157899789,15,g1,4,2020-01-01 01:15
12.2549754304502,15,g1,5,2020-01-01 01:15
22.2549754304502,15,g1,6,2020-01-01 01:15
35.0,15,g1,7,2020-01-01 01:15
35.0,15,g1,8,2020-01-01 01:15
15.0,15,g1,9,2020-01-01 01:15
35.0,15,g1,10,2020-01-01 01:15
35.0,15,g1,11,2020-01-01 01:15
15.0,15,g1,12,2020-01-01 01:15
10.1263157899789,16,g1,1,2020-01-01 01:20
10.1263157899789,16,g1,2,2020-01-01 01:20
10.1263157899789,16,g1,3,2020-01-01 01:20
10.1263157899789,16,g1,4,2020-01-01 01:20
14.7237674050451,16,g1,5,2020-01-01 01:20
24.7237674050451,16,g1,6,2020-01-01 01:20
29.5035609494822,16,g1,7,2020-01-01 01:20
15.0,16,g1,8,2020-01-01 01:20
35.0,16,g1,9,2020-01-01 01:20
35.0,16,g1,10,2020-01-01 01:20
15.0,16,g1,11,2020-01-01 01:20
35.0,16,g1,12,2020-01-01 01:20
10.1263157899789,17,g1,1,2020-01-01 01:25
10.1263157899789,17,g1,2,2020-01-01 01:25
10.1263157899789,17,g1,3,2020-01-01 01:25
10.1263157899789,17,g1,4,2020-01-01 01:25
10.126315789979,17,g1,5,2020-01-01 01:25
26.2567505717759,17,g1,6,2020-01-01 01:25
15.0,17,g1,7,2020-01-01 01:25
35.0,17,g1,8,2020-01-01 01:25
35.0,17,g1,9,2020-01-01 01:25
13.6464616098622,17,g1,10,2020-01-01 01:25
33.6464616098622,17,g1,11,2020-01-01 01:25
35.0,17,g1,12,2020-01-01 01:25
10.1263157899789,18,g1,1,2020-01-01 01:30
10.126315789979,18,g1,2,2020-01-01 01:30
10.1263157899789,18,g1,3,2020-01-01 01:30
10.1263157899789,18,g1,4,2020-01-01 01:30
15.8997034074592,18,g1,5,2020-01-01 01:30
15.0,18,g1,6,2020-01-01 01:30
35.0,18,g1,7,2020-01-01 01:30
35.0,18,g1,8,2020-01-01 01:30
10.1263157899789,18,g1,9,2020-01-01 01:30
22.8180557966064,18,g1,10,2020-01-01 01:30
35.0,18,g1,11,2020-01-01 01:30
35.0,18,g1,12,2020-01-01 01:30
10.1263157899789,19,g1,1,2020-01-01 01:35
10.1263157899789,19,g1,2,2020-01-01 01:35
10.1263157899789,19,g1,3,2020-01-01 01:35
10.1263157899789,19,g1,4,2020-01-01 01:35
15.0,19,g1,5,2020-01-01 01:35
35.0,19,g1,6,2020-01-01 01:35
35.0,19,g1,7,2020-01-01 01:35
10.1263157899789,19,g1,8,2020-01-01 01:35
13.1451046581117,19,g1,9,2020-01-01 01:35
25.8368446647391,19,g1,10,2020-01-01 01:35
35.0,19,g1,11,2020-01-01 01:35
35.0,19,g1,12,2020-01-01 01:35
10.1263157899789,20,g1,1,2020-01-01 01:40
10.1263157899789,20,g1,2,2020-01-01 01:40
10.1263157899789,20,g1,3,2020-01-01 01:40
15.0,20,g1,4,2020-01-01 01:40
35.0,20,g1,5,2020-01-01 01:40
35.0,20,g1,6,2020-01-01 01:40
10.1263157899789,20,g1,7,2020-01-01 01:40
10.1263157899789,20,g1,8,2020-01-01 01:40
13.2565216616579,20,g1,9,2020-01-01 01:40
25.9482616682854,20,g1,10,2020-01-01 01:40
35.0,20,g1,11,2020-01-01 01:40
35.0,20,g1,12,2020-01-01 01:40
10.1263157899789,21,g1,1,2020-01-01 01:45
10.1263157899789,21,g1,2,2020-01-01 01:45
15.0,21,g1,3,2020-01-01 01:45
35.0,21,g1,4,2020-01-01 01:45
35.0,21,g1,5,2020-01-01 01:45
10.1263157899789,21,g1,6,2020-01-01 01:45
10.1263157899789,21,g1,7,2020-01-01 01:45
10.126315789979,21,g1,8,2020-01-01 01:45
13.3678272482006,21,g1,9,2020-01-01 01:45
26.059567254828,21,g1,10,2020-01-01 01:45
35.0,21,g1,11,2020-01-01 01:45
35.0,21,g1,12,2020-01-01 01:45
10.1263157899789,22,g1,1,2020-01-01 01:50
15.0,22,g1,2,2020-01-01 01:50
35.0,22,g1,3,2020-01-01 01:50
35.0,22,g1,4,2020-01-01 01:50
10.1263157899789,22,g1,5,2020-01-01 01:50
10.1263157899789,22,g1,6,2020-01-01 01:50
10.1263157899789,22,g1,7,2020-01-01 01:50
10.1263157899789,22,g1,8,2020-01-01 01:50
13.4790215291566,22,g1,9,2020-01-01 01:50
26.1707615357841,22,g1,10,2020-01-01 01:50
35.0,22,g1,11,2020-01-01 01:50
35.0,22,g1,12,2020-01-01 01:50
5.38278800919954,23,g1,1,2020-01-01 01:55
35.0,23,g1,2,2020-01-01 01:55
35.0,23,g1,3,2020-01-01 01:55
5.12631578997895,23,g1,4,2020-01-01 01:55
10.1263157899789,23,g1,5,2020-01-01 01:55
10.1263157899789,23,g1,6,2020-01-01 01:55
10.1263157899789,23,g1,7,2020-01-01 01:55
10.6899275047418,23,g1,8,2020-01-01 01:55
20.6899275047418,23,g1,9,2020-01-01 01:55
33.3816675113693,23,g1,10,2020-01-01 01:55
35.0,23,g1,11,2020-01-01 01:55
35.0,23,g1,12,2020-01-01 01:55
35.0,24,g1,1,2020-01-01 02:00
35.0,24,g1,2,2020-01-01 02:00
5.12631578997893,24,g1,3,2020-01-01 02:00
10.1263157899789,24,g1,4,2020-01-01 02:00
10.1263157899789,24,g1,5,2020-01-01 02:00
10.1263157899789,24,g1,6,2020-01-01 02:00
10.1263157899789,24,g1,7,2020-01-01 02:00
10.7590225781714,24,g1,8,2020-01-01 02:00
20.7590225781714,24,g1,9,2020-01-01 02:00
33.4507625847989,24,g1,10,2020-01-01 02:00
35.0,24,g1,11,2020-01-01 02:00
35.0,24,g1,12,2020-01-01 02:00
35.0,25,g1,1,2020-01-01 02:05
5.12631578997894,25,g1,2,2020-01-01 02:05
10.1263157899789,25,g1,3,2020-01-01 02:05
10.1263157899789,25,g1,4,2020-01-01 02:05
10.126315789979,25,g1,5,2020-01-01 02:05
16.1216119175153,25,g1,6,2020-01-01 02:05
26.1216119175153,25,g1,7,2020-01-01 02:05
35.0,25,g1,8,2020-01-01 02:05
35.0,25,g1,9,2020-01-01 02:05
35.0,25,g1,10,2020-01-01 02:05
15.0,25,g1,11,2020-01-01 02:05
35.0,25,g1,12,2020-01-01 02:05
5.12631578997895,26,g1,1,2020-01-01 02:10
10.126315789979,26,g1,2,2020-01-01 02:10
10.1263157899789,26,g1,3,2020-01-01 02:10
13.0157729177471,26,g1,4,2020-01-01 02:10
23.0157729177471,26,g1,5,2020-01-01 02:10
33.0157729177471,26,g1,6,2020-01-01 02:10
35.0,26,g1,7,2020-01-01 02:10
35.0,26,g1,8,2020-01-01 02:10
35.0,26,g1,9,2020-01-01 02:10
15.0,26,g1,10,2020-01-01 02:10
35.0,26,g1,11,2020-01-01 02:10
35.0,26,g1,12,2020-01-01 02:10
10.1263157899789,27,g1,1,2020-01-01 02:15
10.1263157899789,27,g1,2,2020-01-01 02:15
11.535109869527,27,g1,3,2020-01-01 02:15
21.535109869527,27,g1,4,2020-01-01 02:15
31.535109869527,27,g1,5,2020-01-01 02:15
35.0,27,g1,6,2020-01-01 02:15
35.0,27,g1,7,2020-01-01 02:15
35.0,27,g1,8,2020-01-01 02:15
15.0,27,g1,9,2020-01-01 02:15
35.0,27,g1,10,2020-01-01 02:15
35.0,27,g1,11,2020-01-01 02:15
15.0,27,g1,12,2020-01-01 02:15
10.1263157899789,28,g1,1,2020-01-01 02:20
10.1263157899789,28,g1,2,2020-01-01 02:20
14.3912137524817,28,g1,3,2020-01-01 02:20
24.3912137524817,28,g1,4,2020-01-01 02:20
34.3912137524817,28,g1,5,2020-01-01 02:20
30.4251273943141,28,g1,6,2020-01-01 02:20
30.4251273943141,28,g1,7,2020-01-01 02:20
15.0,28,g1,8,2020-01-01 02:20
35.0,28,g1,9,2020-01-01 02:20
35.0,28,g1,10,2020-01-01 02:20
15.0,28,g1,11,2020-01-01 02:20
35.0,28,g1,12,2020-01-01 02:20
10.1263157899789,29,g1,1,2020-01-01 02:25
10.1263157899789,29,g1,2,2020-01-01 02:25
14.9892040008448,29,g1,3,2020-01-01 02:25
24.9892040008448,29,g1,4,2020-01-01 02:25
30.1263157899789,29,g1,5,2020-01-01 02:25
28.6238388321918,29,g1,6,2020-01-01 02:25
15.0,29,g1,7,2020-01-01 02:25
35.0,29,g1,8,2020-01-01 02:25
35.0,29,g1,9,2020-01-01 02:25
15.0,29,g1,10,2020-01-01 02:25
35.0,29,g1,11,2020-01-01 02:25
35.0,29,g1,12,2020-01-01 02:25
10.1263157899789,30,g1,1,2020-01-01 02:30
10.1263157899789,30,g1,2,2020-01-01 02:30
11.2144069024687,30,g1,3,2020-01-01 02:30
